# fit | chi2 = 30.07 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2330e-01, 
# b1: 1.9539, c2: 0.5907, c4: 0.0000, b3: -0.3669, cct: 0.1842, cr1: -0.8486, cr2: -0.8149, ce0: 1.4979, ce1: 0.0000, ce2: -1.6265, cr4: 0.0000, cr6: 0.0000, b2: 0.4177, b4: 0.4177, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3k [h/Mpc], P_data_l2 [Mpc/h]^3, sigma_data_l2 [Mpc/h]^3, P_theo_l2 [Mpc/h]^3
0.0162 1.736710e+04 1.142554e+04 2.481880e+04
0.0269 2.499610e+04 6.342279e+03 2.356294e+04
0.0377 1.492630e+04 3.613655e+03 1.850199e+04
0.0485 1.446280e+04 2.150660e+03 1.449071e+04
0.0592 1.027980e+04 1.590274e+03 1.193246e+04
0.0700 1.048250e+04 1.210669e+03 9.951628e+03
0.0808 7.077810e+03 8.849271e+02 8.136832e+03
0.0916 7.361030e+03 6.773485e+02 6.615619e+03
0.1023 5.602820e+03 5.189489e+02 5.494075e+03
0.1131 4.447360e+03 4.394189e+02 4.658815e+03
0.1239 4.463950e+03 3.630262e+02 3.974501e+03
0.1346 3.439100e+03 3.036707e+02 3.413429e+03
0.1454 3.050390e+03 2.671393e+02 2.990708e+03
0.1562 2.573670e+03 2.246304e+02 2.663880e+03
0.1669 2.227490e+03 1.964650e+02 2.357744e+03
0.1777 2.098900e+03 1.753040e+02 2.045849e+03
0.1885 1.728170e+03 1.588547e+02 1.750417e+03
0.1993 1.563440e+03 1.409695e+02 1.512671e+03
0.2100 1.370780e+03 1.289197e+02 1.333849e+03
0.2208 1.104400e+03 1.163035e+02 1.177018e+03
