# fit | chi2 = 35.64 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2330e-01, 
# b1: 1.9053, c2: 1.1139, c4: 0.0000, b3: 0.5498, cct: 0.5597, cr1: -1.4981, cr2: -1.5223, ce0: -0.0440, ce1: 0.0000, ce2: -2.3391, cr4: 0.0000, cr6: 0.0000, b2: 0.7876, b4: 0.7876, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3
0.0162 9.006170e+04 7.843947e+03 7.523521e+04
0.0269 6.289530e+04 4.220723e+03 6.495347e+04
0.0377 4.937980e+04 2.294378e+03 5.040771e+04
0.0485 4.281230e+04 1.501846e+03 4.032266e+04
0.0592 3.345210e+04 1.056101e+03 3.451901e+04
0.0700 2.943940e+04 7.691287e+02 3.003885e+04
0.0808 2.581510e+04 5.927065e+02 2.531920e+04
0.0916 2.122170e+04 4.506595e+02 2.086302e+04
0.1023 1.780960e+04 3.554434e+02 1.757740e+04
0.1131 1.546080e+04 2.898167e+02 1.552075e+04
0.1239 1.420940e+04 2.403720e+02 1.410288e+04
0.1346 1.278230e+04 2.067682e+02 1.276874e+04
0.1454 1.150150e+04 1.764517e+02 1.138921e+04
0.1562 1.003370e+04 1.528669e+02 1.013860e+04
0.1669 9.113730e+03 1.328529e+02 9.159466e+03
0.1777 8.311030e+03 1.172890e+02 8.429304e+03
0.1885 7.896910e+03 1.039827e+02 7.825043e+03
0.1993 7.310970e+03 9.660171e+01 7.258283e+03
